LOTE;UNIDAD;TIPO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
46;LEASING;CAMIONETA;2018;4x4;D;82949;7600000
47;LEASING;CAMIONETA;2018;4x4;D;88832;8100000
48;LEASING;CAMIONETA;2018;4x4;D;94993;8100000
49;LEASING;CAMIONETA;2018;4x4;D;108982;7400000
50;LEASING;CAMIONETA;2016;4x4;D;91709;10500000
51;LEASING;CAMIONETA;2016;4x4;D;114020;7600000
52;LEASING;CAMIONETA;2017;4x4;D;44238;6700000
53;LEASING;CAMIONETA;2017;4x4;D;52513;7200000
54;LEASING;CAMIONETA;2017;4x4;D;68067;7400000
55;LEASING;CAMIONETA;2017;4x4;D;69578;7400000
56;LEASING;CAMIONETA;2017;4x4;D;95113;7500000
57;LEASING;CAMIONETA;2019;4x2;D;40974;7700000
58;LEASING;CAMIONETA;2019;4x2;D;41747;7700000
59;LEASING;CAMIONETA;2019;4x2;D;51247;7700000
60;BFE;CAMIONETA;2017;4x2;B;28612;8400000
61;LEASING;CAMIONETA;2018;4x2;D;22775;7600000
62;LEASING;CAMIONETA;2018;4x2;D;44636;7200000
63;LEASING;CAMIONETA;2018;4x2;D;48007;7200000
64;LEASING;CAMIONETA;2018;4x2;D;56236;7000000
65;LEASING;CAMIONETA;2018;4x2;D;77905;7600000
66;LEASING;CAMIONETA;2018;4x2;D;91209;7000000
67;LEASING;CAMIONETA;2016;4x4;D;43473;8900000
68;LEASING;CAMIONETA;2016;4x4;D;75239;7100000
69;LEASING;CAMIONETA;2016;4x4;D;105651;6900000
70;LEASING;CAMIONETA;2017;4x4;D;133105;6800000
71;LEASING;CAMIONETA;2017;4x4;D;180381;6600000
72;LEASING;CAMIONETA;2016;4x4;D;127386;7100000
74;LEASING;CAMIONETA;2016;4x4;D;106681;6900000
75;LEASING;CAMIONETA;2016;4x2;D;46001;6100000
76;LEASING;CAMIONETA;2016;4x2;D;56221;6100000
77;LEASING;CAMIONETA;2016;4x2;D;87255;5800000
78;LEASING;CAMIONETA;2017;4x4;D;132197;6800000
79;LEASING;CAMIONETA;2017;4x4;D;174503;6900000
80;LEASING;CAMIONETA;2017;4x2;D;112865;6900000
81;LEASING;CAMIONETA;2016;4x2;D;82053;4900000
82;LEASING;CAMIONETA;2017;4x2;D;60594;6700000
83;LEASING;CAMIONETA;2017;4x2;D;118308;5500000
84;LEASING;CAMIONETA;2015;4x4;D;42904;6400000
85;LEASING;CAMIONETA;2015;4x4;D;68767;6400000
86;LEASING;CAMIONETA;2015;4x4;D;108988;6400000
87;LEASING;CAMIONETA;2015;4x2;D;76719;4500000
88;LEASING;CAMIONETA;2015;4x2;D;92048;4500000
89;LEASING;CAMIONETA;2015;4x2;D;96880;4300000
90;LEASING;CAMIONETA;2015;4x2;D;151425;4600000
91;LEASING;CAMIONETA;2018;4x4;D;212499;6600000
92;LEASING;CAMIONETA;2016;4x4;D;202587;6400000
93;BFE;CAMIONETA;2013;4x4;B;80338;5700000
94;LEASING;CAMIONETA;2015;4x2;D;197105;5400000
95;LEASING;CAMIONETA;2014;4x4;D;242892;4700000
96;LEASING;CAMIONETA;2017;4x2;D;136692;6700000
97;AUTOMOTORAS;FURGON;2019;4x2;D;60;9000000
98;AUTOMOTORAS;STATION WAGON;2014;4x4;D;102336;7100000
99;AUTOMOTORAS;STATION WAGON;2018;4x2;B;66;6300000
100;AUTOMOTORAS;STATION WAGON;2017;4x2;B;54;5400000
101;BFE;STATION WAGON;2020;4x2;B;9136;5200000
102;BFE;HATCHBACK;2015;4x2;B;117252;5700000
103;LEASING;STATION WAGON;2016;4x4;B;51530;5700000
104;AUTOMOTORAS;STATION WAGON;2013;4x4;B;78632;5800000
105;PARTICULARES;SEDAN;2015;4x2;B;173839;5900000
106;PARTICULARES;SEDAN;2012;4x2;B;100291;5200000
107;PARTICULARES;SEDAN;2020;4x2;B;1238;5500000
108;PARTICULARES;HATCHBACK;2018;4x2;B;3398;5600000
109;PARTICULARES;HATCHBACK;2018;4x2;B;35631;5200000
110;LEASING;HATCHBACK;2019;4x2;B;49643;5200000
111;LEASING;HATCHBACK;2019;4x2;B;48933;5200000
112;LEASING;HATCHBACK;2019;4x2;B;50214;5200000
113;LEASING;HATCHBACK;2019;4x2;B;52112;5200000
114;BFE;SEDAN;2019;4x2;B;20175;4900000
115;BFE;SEDAN;2018;4x2;B;13137;4500000
116;BFE;SEDAN;2017;4x2;B;42860;3700000
117;PARTICULARES;STATION WAGON;2017;4x2;B;67956;5400000
118;PARTICULARES;SEDAN;2017;4x2;B;63200;5600000
119;BFE;STATION WAGON;2017;4x2;B;56252;4500000
120;BFE;STATION WAGON;2012;4x4;B;93738;4400000
121;PARTICULARES;STATION WAGON;2014;4x2;B;113271;5400000
123;PARTICULARES;HATCHBACK;2015;4x2;B;102081;4400000
124;BFE;SEDAN;2015;4x2;B;118770;3900000
125;PARTICULARES;HATCHBACK;2015;4x2;B;68808;4600000
126;PARTICULARES;STATION WAGON;2014;4x2;B;90314;4500000
127;BFE;STATION WAGON;2013;4x2;B;87208;4200000
128;PARTICULARES;HATCHBACK;2017;4x2;B;36513;3100000
129;BFE;HATCHBACK;2015;4x2;B;48712;3100000
130;PARTICULARES;HATCHBACK;2016;4x2;B;110668;3100000
131;PARTICULARES;HATCHBACK;2015;4x2;B;100804;3200000
132;BFE;HATCHBACK;2014;4x2;B;108520;3200000
133;BFE;STATION WAGON;2010;4x4;B;159116;3100000
134;BFE;SEDAN;2011;4x2;B;101753;2500000
1;PARTICULARES;STATION WAGON;2017;4x4;D;107175;17700000
2;AUTOMOTORAS;STATION WAGON;2019;4x2;D;39469;13400000
3;AUTOMOTORAS;STATION WAGON;2019;4x2;D;42664;13400000
4;LEASING;STATION WAGON;2018;4x2;D;84806;13700000
5;PARTICULARES;STATION WAGON;2020;4x2;B;14784;8400000
6;LEASING;STATION WAGON;2017;4x2;D;89722;7800000
7;PARTICULARES;STATION WAGON;2015;4x2;B;33381;7100000
8;PARTICULARES;SEDAN;2018;4x2;B;49641;11600000
9;BFE;HATCHBACK;2019;4x2;B;19894;8900000
10;LEASING;HATCHBACK;2017;4x2;B;36445;8600000
11;LEASING;SEDAN;2018;4x4;B;64188;7200000
12;LEASING;SEDAN;2018;4x4;B;64655;7200000
13;LEASING;SEDAN;2017;4x2;B;84893;8900000
14;LEASING;CAMIONETA;2018;4x4;D;49632;11700000
15;LEASING;CAMIONETA;2018;4x4;D;79973;11700000
16;LEASING;CAMIONETA;2018;4x4;D;79257;9200000
17;LEASING;CAMIONETA;2018;4x4;D;119716;8200000
18;LEASING;CAMIONETA;2017;4x4;D;75521;9400000
19;LEASING;CAMIONETA;2017;4x4;D;84409;8200000
20;LEASING;CAMIONETA;2017;4x4;D;95257;8200000
